Page Title,Average response time(seconds)
Caffeine,1710
John Abraham (actor),3413
John Krasinski,1685
Maisie Williams,2
Inferno (Dante),5
Queens of the Stone Age,14142
Paul Wesley,46761
Demographics of France,4
Roman Empire,977.1428571
Brock Osweiler,183
Falklands War,94348
Marcus Mariota,523
Bridge of Spies (film),64299
American Horror Story: Hotel,1711
Lockheed Martin F-35 Lightning II,1617
List of Islamist terrorist attacks,296
James Earl Jones,5
Jonah Hill,4104
United States Congress,41.5
Dakota Fanning,3331
Colosseum,4.5
Edward Snowden,120
Agoraphobia,5
Jack Dorsey,29.33333333
Chicago Med,798
Minions (film),140.5
Hillary Clinton,135
Paula Abdul,150.5
Jenna Coleman,312.6666667
Wonder Woman,14
Jabberwocky,10134
2015 United Nations Climate Change Conference,1414.5
Meningitis,210
Nikki Reed,2275
Dave Grohl,104
The Good Wife (season 7),59871
Sidharth Malhotra,85
Dana White,133
Elizabeth Hurley,7413
List of most viewed YouTube videos,10409.5
Pia Mia,45.66666667
Rex Ryan,3906.333333
Ohio,1870
Black Mass (film),5682
List of 2015 albums,17
Bronchitis,1925
Epinephrine,593.6
Penicillin,2767
Leicester City F.C.,801.6666667
Scream Queens (2015 TV series),156.8571429
Google Chrome,85
Bajirao Mastani (film),8181.4
Maleficent (film),5861
Pompeii,6600.4
House (TV series),3543
Herbert Hoover,133
Jordan Belfort,437.3333333
The Seven Deadly Sins (manga),28530.5
Rudhramadevi (film),3417.5
Tyler Breeze,13437.66667
Deadpool (film),2
Empire State Building,3
Intelligence quotient,1236
Mount Rushmore,1102.5
Rama,16647
Modern Family (season 7),2
Louis C.K.,842
Hero (2015 Hindi film),1333
Malala Yousafzai,199.6
Emma Stone,2177
Queen Latifah,796
Demographics of India,3568
Friedrich Nietzsche,92.5
Jennifer Love Hewitt,203
2015 Bamako hotel attack,272.6666667
Stephen Amell,3
2015 Indian Super League season,3
Iron Man 3,389.5
Sophia Bush,3315
JavaScript,7
Tom Selleck,97
Aziz Ansari,2757
