Rank,Page Title,Page View,Mobile %,Portal,
2,Lady Colin Campbell,"2,969,403",86.86%,People and Self,
3,Islamic State of Iraq and the Levant,"2,600,177",55.64%,Society and social sciences,
4,Digital Signature Algorithm,"2,022,641",0.02%,Technology and Applied Science,
5,Holly Holm,"1,840,198",57.40%,People and Self,
6,Ronda Rousey,"1,793,510",61.92%,People and Self,
7,November 2015 Paris attacks,"1,688,712",40.69%,History Events,
8,Charlie Sheen,"1,409,179",58.25%,People and Self,
9,Java (programming language),"1,008,550",0.86%,General Reference,
10,Jessica Jones,"973,228",59.25%,People and Self,
11,Web scraping,"967,903",0.23%,General Reference,
12,Adele,"903,238",59.86%,People and Self,
13,Prem Ratan Dhan Payo,"877,755",67.74%,Culture and Arts,
14,Spectre (2015 film),"824,240",53.76%,Culture and Arts,
15,Anonymous (group),"818,519",52.99%,Society and social sciences,
16,Jessica Jones (TV series),"796,229",47.55%,Culture and Arts,
17,Jonah Lomu,"745,385",57.33%,People and Self,
18,Mali,"681,828",58.47%,Geography and Places,
19,UFC 193,"648,679",52.21%,Culture and Arts,
20,Eagles of Death Metal,"624,395",43.35%,Culture and Arts,
21,Deaths in 2015,"575,782",26.09%,History Events,
22,Abu Bakr al-Baghdadi,"561,921",53.44%,People and Self,
24,Jacklyn H. Lucas,"524,115",33.44%,People and Self,
25,25 (Adele album),"518,616",44.76%,Culture and Arts,
26,The Hunger Games: Mockingjay – Part 2,"469,610",58.95%,Culture and Arts,
27,Syria,"461,783",50.62%,Geography and Places,
28,List of feed aggregators,"452,540",0.00%,Technology and Applied Science,
29,Fallout 4,"438,257",46.33%,Culture and Arts,
30,Vincent Margera,"420,531",65.43%,People and Self,
32,Survivor Series (2015),"416,855",59.87%,Culture and Arts,
33,Syrian Civil War,"407,383",43.66%,History Events,
34,Dulce María,"403,899",0.44%,People and Self,
35,Steve Jobs,"392,794",59.19%,People and Self,
36,Bree Olson,"381,532",56.71%,People and Self,
37,"List of terrorist incidents, 2015","380,354",58.89%,History Events,
38,G-20 major economies,"365,464",54.33%,Society and social sciences,
39,The Hunger Games,"361,884",62.38%,Culture and Arts,
40,The Man in the High Castle (TV series),"359,882",50.22%,Culture and Arts,
41,Charlie Hebdo shooting,"357,612",54.62%,History Events,
42,List of Bollywood films of 2015,"357,521",46.92%,Culture and Arts,
43,Krampus,"356,359",73.61%,Culture and Arts,
44,The Walking Dead (season 6),"354,124",45.65%,Culture and Arts,
45,Purpose (Justin Bieber album),"353,254",46.41%,Culture and Arts,
46,William Gibson,"351,163",0.46%,People and Self,
47,Andy Warhol,"349,452",36.92%,People and Self,
48,Mr. T,"341,767",29.63%,People and Self,
49,Star Wars Battlefront (2015 video game),"341,238",48.06%,Culture and Arts,
50,La Marseillaise,"340,073",53.23%,Culture and Arts,
51,North Atlantic Treaty,"337,995",37.42%,History Events,
52,American Horror Story: Hotel,"335,730",58.90%,Culture and Arts,
53,United States,"334,214",44.88%,Geography and Places,
54,Martin Sheen,"330,876",57.28%,People and Self,
55,Star Wars: The Force Awakens,"328,898",48.06%,Culture and Arts,
56,Eminem,"325,486",40.57%,People and Self,
57,Second,"320,420",28.52%,Mathematic and Logics,
58,Vladimir Putin,"313,818",59.94%,People and Self,
59,Chris Eubank,"309,170",88.94%,People and Self,
60,Donald Trump,"303,402",58.51%,People and Self,
61,Ddd,"299,026",0.05%,,Disambiguation page - delete
62,Star Wars,"294,275",50.59%,Culture and Arts,
63,Justin Bieber,"291,567",52.81%,People and Self,
64,The Walking Dead (TV series),"288,460",42.64%,Culture and Arts,
65,Bashar al-Assad,"287,266",47.09%,People and Self,
66,Pablo Escobar,"286,851",71.32%,People and Self,
67,Facebook,"286,416",50.89%,Technology and Applied Science,
68,The Man in the High Castle,"285,787",51.96%,Culture and Arts,
69,Daniel Craig,"283,130",59.13%,People and Self,
70,France,"278,020",45.16%,Geography and Places,
71,Jennifer Lawrence,"277,560",54.97%,People and Self,
72,Luke Cage,"276,780",59.60%,Culture and Arts,
73,Saeed Jaffrey,"272,121",54.87%,People and Self,
74,Barack Obama,"271,437",51.08%,People and Self,
75,One-Punch Man,"271,000",37.14%,Culture and Arts,
76,Elon Musk,"270,197",67.87%,People and Self,
77,Purple Man,"265,826",58.00%,Culture and Arts,
78,Emilio Estevez,"264,823",58.76%,People and Self,
79,Caliphate,"263,043",52.79%,Religion and Belief Systems,
80,September 11 attacks,"261,255",53.29%,History Events,
81,Thanksgiving,"260,962",47.49%,Society and social sciences,
82,Google,"257,749",46.51%,Technology and Applied Science,
83,List of The Flash (2014 TV series) episodes,"255,511",37.04%,Culture and Arts,
84,Https//dmp.pro.cn/html,"252,340",7.00%,,Delete
85,The Hunger Games (film series),"250,203",57.65%,Culture and Arts,
86,Queen Anne of Romania,"250,110",26.60%,People and Self,
87,Supergirl (U.S. TV series),"247,315",35.02%,Culture and Arts,
88,Krysten Ritter,"246,472",52.73%,People and Self,
89,Jorgie Porter,"241,763",87.20%,People and Self,
90,Paris,"241,306",44.73%,Geography and Places,
91,List of James Bond films,"239,979",57.69%,Culture and Arts,
92,Into the Badlands (TV series),"239,183",53.70%,Culture and Arts,
93,World War II,"238,891",47.86%,History Events,
94,New Zealand,"238,462",17.65%,Geography and Places,
95,Jihadi John,"235,131",50.67%,People and Self,
96,Al-Qaeda,"235,127",50.40%,Religion and Belief Systems,
97,Cristiano Ronaldo,"234,082",65.91%,People and Self,
98,India,"233,654",50.45%,Geography and Places,
